Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9758,0.9768,0.9778,0.9773,0.9756,0.9735,0.9778,0.9514,0.9514
0.9767,0.9742,0.9824,0.9783,0.9763,0.9703,0.9824,0.9533,0.9533
0.9748,0.9743,0.9786,0.9764,0.9746,0.9706,0.9786,0.9494,0.9494
0.9762,0.9763,0.9791,0.9777,0.976,0.9729,0.9791,0.9522,0.9522
0.9751,0.9753,0.9781,0.9767,0.9749,0.9718,0.9781,0.95,0.95
0.9748,0.971,0.9821,0.9765,0.9743,0.9665,0.9821,0.9494,0.9495
0.9735,0.9714,0.9791,0.9752,0.9731,0.9671,0.9791,0.9467,0.9467
0.9733,0.9714,0.9788,0.9751,0.973,0.9671,0.9788,0.9464,0.9465
0.9777,0.9762,0.9821,0.9791,0.9774,0.9726,0.9821,0.9552,0.9552
0.9756,0.9739,0.9806,0.9772,0.9753,0.97,0.9806,0.9511,0.9511
