Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9842,0.9852,0.9852,0.9852,0.9842,0.9831,0.9852,0.9683,0.9683
0.9861,0.984,0.99,0.987,0.9858,0.9817,0.99,0.9721,0.9721
0.9868,0.9858,0.9895,0.9876,0.9866,0.9837,0.9895,0.9735,0.9735
0.9856,0.9838,0.9893,0.9865,0.9853,0.9814,0.9893,0.971,0.971
0.9871,0.9858,0.99,0.9879,0.9869,0.9837,0.99,0.974,0.974
0.9848,0.9845,0.987,0.9857,0.9846,0.9822,0.987,0.9694,0.9694
0.9865,0.986,0.9888,0.9874,0.9864,0.984,0.9888,0.9729,0.973
0.9853,0.9862,0.9862,0.9862,0.9852,0.9843,0.9862,0.9705,0.9705
0.9854,0.9887,0.9839,0.9863,0.9856,0.9872,0.9839,0.9708,0.9708
0.9861,0.9833,0.9908,0.987,0.9858,0.9808,0.9908,0.9721,0.9721
